School Code,Academic Year,District Name,School Name,School Type,"Educational 
Option Type","Charter 
School 
(0=No, 1 = Yes)","Percent (%) 
Eligible FRPM 
(K-12)"
6042634,2019,Stockton Unified,Hoover Elementary,Elementary Schools (Public),Traditional,0,69.5
6120240,2019,Dixon Unified,Gretchen Higgins Elementary,Elementary Schools (Public),Traditional,0,69.5
6004295,2022,Mt. Diablo Unified,Shore Acres Elementary,Elementary Schools (Public),Traditional,0,69.49152542
6048425,2023,San Jose Unified,Almaden Elementary,Elementary Schools (Public),Traditional,0,69.49152542
6051866,2023,Monte Rio Union Elementary,Monte Rio Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,69.49152542
6028534,2021,Garden Grove Unified,Dr. Walter C. Ralston Intermediate,Intermediate/Middle Schools (Public),Traditional,0,69.48853616
0116368,2021,Tulare Joint Union High,Mission Oak High,High Schools (Public),Traditional,0,69.48805461
0110254,2022,Oakland Unified,Sankofa United Elementary,Elementary Schools (Public),Traditional,0,69.48356808
0140020,2022,Stockton Unified,Flora Arca Mata,Elementary Schools (Public),Traditional,0,69.46721311
6053276,2022,Live Oak Unified,Live Oak Middle,Intermediate/Middle Schools (Public),Traditional,0,69.45812808
6108328,2023,Kingsburg Elementary Charter,Rafer Johnson Junior High,Intermediate/Middle Schools (Public),Traditional,1,69.45701357
6012793,2022,Downey Unified,Unsworth (Edith) Elementary,Elementary Schools (Public),Traditional,0,69.45337621
6057848,2022,Long Beach Unified,Stephens Middle,Intermediate/Middle Schools (Public),Traditional,0,69.45137157
0107920,2022,Lake Elsinore Unified,Lakeside High,High Schools (Public),Traditional,0,69.4491766
6053102,2023,Sylvan Union Elementary,Standiford Elementary,Elementary Schools (Public),Traditional,0,69.44444444
6112775,2022,Central Unified,John Steinbeck Elementary,Elementary Schools (Public),Traditional,0,69.44024206
3331014,2023,Nuview Union,Nuview Bridge Early College High,High Schools (Public),Traditional,1,69.44024206
6035752,2023,Cucamonga Elementary,Cucamonga Elementary,Elementary Schools (Public),Traditional,0,69.43820225
0120600,2021,Rowland Unified,iQ Academy California-Los Angeles,K-12 Schools (Public),Traditional,0,69.43396226
6015358,2022,Long Beach Unified,Harte Elementary,Elementary Schools (Public),Traditional,0,69.43396226
0119727,2023,Los Angeles Unified,Ramon C. Cortines School of Visual and Performing Arts,High Schools (Public),Traditional,0,69.42783945
0132951,2023,La Mesa-Spring Valley,Trust Blended Learning,Elementary Schools (Public),Traditional,0,69.4214876
6014351,2023,Hacienda la Puente Unified,Sierra Vista Middle,Intermediate/Middle Schools (Public),Traditional,0,69.41747573
6027411,2022,Anaheim Elementary,Roosevelt (Theodore) Elementary,Elementary Schools (Public),Traditional,0,69.4143167
1838507,2023,Westwood Unified,Westwood High,High Schools (Public),Traditional,0,69.41176471
6117931,2023,Redding Elementary,Monarch Learning Center,Elementary Schools (Public),Traditional,1,69.41176471
6043145,2021,Paso Robles Joint Unified,Arts Academy at Bauer Speck Elementary,Elementary Schools (Public),Traditional,0,69.40874036
6023675,2023,Whittier City Elementary,Lou Henry Hoover Elementary,Elementary Schools (Public),Traditional,0,69.40509915
6112866,2022,Bear Valley Unified,Baldwin Lane Elementary,Elementary Schools (Public),Traditional,0,69.40298507
6007173,2019,Sanger Unified,Lone Star Elementary,Elementary Schools (Public),Traditional,0,69.4
1230150,2019,Eureka City Schools,Pacific View Charter 2.0,K-12 Schools (Public),Traditional,1,69.4
6104772,2019,Caliente Union Elementary,Piute Mountain Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,69.4
1530385,2019,Kern High,Ridgeview High,High Schools (Public),Traditional,0,69.4
6009633,2019,Sierra Sands Unified,Faller Elementary,Elementary Schools (Public),Traditional,0,69.4
106351,2019,Los Angeles Unified,Ivy Academia,K-12 Schools (Public),Traditional,1,69.4
6024525,2019,Novato Unified,Lynwood Elementary,Elementary Schools (Public),Traditional,0,69.4
6066898,2019,Tustin Unified,Robert Heideman Elementary,Elementary Schools (Public),Traditional,0,69.4
111104,2019,Dry Creek Joint Elementary,Barrett Ranch Elementary,Elementary Schools (Public),Traditional,0,69.4
6096051,2019,San Diego Unified,Hancock Elementary,Elementary Schools (Public),Traditional,0,69.4
3830288,2019,San Francisco Unified,Balboa High,High Schools (Public),Traditional,0,69.4
116889,2019,East Side Union High,KIPP San Jose Collegiate,High Schools (Public),Traditional,1,69.4
6051320,2019,Vacaville Unified,Eugene Padan Elementary,Elementary Schools (Public),Traditional,0,69.4
5435466,2019,Tulare Joint Union High,Tulare Western High,High Schools (Public),Traditional,0,69.4
6056089,2019,Ventura Unified,Elmhurst Elementary,Elementary Schools (Public),Traditional,0,69.4
0137943,2021,Oakland Unified,Skyline High,High Schools (Public),Traditional,0,69.39759036
0115253,2021,Los Angeles Unified,Discovery Charter Preparatory #2,High Schools (Public),Traditional,0,69.39655172
6002554,2022,San Lorenzo Unified,Del Rey Elementary,Elementary Schools (Public),Traditional,0,69.38271605
6003438,2023,Calaveras Unified,San Andreas Elementary,Elementary Schools (Public),Traditional,0,69.375
1634401,2021,Hanford Joint Union High,Hanford High,High Schools (Public),Traditional,0,69.37222575
2332260,2023,Laytonville Unified,Laytonville High,High Schools (Public),Traditional,0,69.36936937
6053821,2023,Trinity Alps Unified,Weaverville Elementary,Elementary Schools (Public),Traditional,0,69.36936937
6004766,2023,West Contra Costa Unified,Ford Elementary,Elementary Schools (Public),Traditional,0,69.36708861
0116939,2021,San Diego Unified,Innovation Middle,Intermediate/Middle Schools (Public),Traditional,0,69.35483871
6037279,2022,Upland Unified,Sycamore Elementary,Elementary Schools (Public),Traditional,0,69.35483871
6053680,2022,Burnt Ranch Elementary,Burnt Ranch Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,69.35483871
6025001,2023,Mariposa County Unified,Yosemite National Park El Portal,Elementary Schools (Public),Traditional,0,69.35483871
0129205,2023,Franklin-McKinley Elementary,KIPP Heritage Academy,Intermediate/Middle Schools (Public),Traditional,1,69.35123043
6015101,2021,Little Lake City Elementary,William W. Orr Elementary,Elementary Schools (Public),Traditional,0,69.35064935
6008841,2022,Bakersfield City,Chipman Junior High,Intermediate/Middle Schools (Public),Traditional,0,69.34460888
6037949,2022,Chula Vista Elementary,Loma Verde Elementary,Elementary Schools (Public),Traditional,0,69.34460888
6050520,2023,Redding Elementary,Sequoia Middle,Intermediate/Middle Schools (Public),Traditional,0,69.34306569
6104632,2023,Panama-Buena Vista Union,Sing Lum Elementary,Elementary Schools (Public),Traditional,0,69.34023286
0115808,2021,San Bernardino County Office of Education,Norton Science and Language Academy,K-12 Schools (Public),Traditional,0,69.33333333
0114074,2023,Weaver Union,Farmdale Elementary,Elementary Schools (Public),Traditional,0,69.33066933
6019376,2022,Los Angeles Unified,Sunland Elementary,Elementary Schools (Public),Traditional,0,69.32907348
6103832,2023,Fresno Unified,Manchester Gate,Elementary Schools (Public),Traditional,0,69.32153392
6052195,2023,Santa Rosa Elementary,Steele Lane Elementary,Elementary Schools (Public),Traditional,0,69.31216931
0121509,2022,Oroville City Elementary,Ipakanni Early College Charter,K-12 Schools (Public),Traditional,0,69.30693069
6032908,2023,Center Joint Unified,Arthur S. Dudley Elementary,Elementary Schools (Public),Traditional,0,69.30693069
6052971,2021,Riverbank Unified,California Avenue Elementary,Elementary Schools (Public),Traditional,0,69.30379747
109819,2019,Oakland Unified,Aspire Berkley Maynard Academy,Elementary Schools (Public),Traditional,1,69.3
6005870,2019,Clovis Unified,Jefferson Elementary,Elementary Schools (Public),Traditional,0,69.3
6057343,2019,Fresno Unified,Tenaya Middle,Intermediate/Middle Schools (Public),Traditional,0,69.3
6007207,2019,Sanger Unified,Washington Academic Middle,Intermediate/Middle Schools (Public),Traditional,0,69.3
6006662,2019,Central Unified,Houghton-Kearney Elementary,Elementary Schools (Public),Traditional,0,69.3
127209,2019,Maricopa Unified,Insight School of California,High Schools (Public),Traditional,1,69.3
133835,2019,El Rancho Unified,Ellen Ochoa Prep Academy,High Schools (Public),Traditional,0,69.3
2430205,2019,Merced Union High,Buhach Colony High,High Schools (Public),Traditional,0,69.3
2730166,2019,Salinas Union High,Everett Alvarez High,High Schools (Public),Traditional,0,69.3
6059042,2019,Corona-Norco Unified,Letha Raney Intermediate,Intermediate/Middle Schools (Public),Traditional,0,69.3
6108948,2019,Center Joint Unified,North Country Elementary,Elementary Schools (Public),Traditional,0,69.3
120568,2019,San Bernardino City Unified,Options for Youth-San Bernardino,High Schools (Public),Traditional,1,69.3
3738234,2019,Sweetwater Union High,Montgomery Senior High,High Schools (Public),Traditional,0,69.3
6049894,2019,Santa Cruz City Elementary,Gault Elementary,Elementary Schools (Public),Traditional,0,69.3
6050751,2019,Scott Valley Unified,Fort Jones Elementary,Elementary Schools (Public),Traditional,0,69.3
6031280,2022,Roseville City Elementary,Bradford Woodbridge Fundamental Elementary,Elementary Schools (Public),Traditional,0,69.29824561
6110290,2021,Exeter Unified,Wilson Middle,Intermediate/Middle Schools (Public),Traditional,0,69.29674099
6042386,2023,Manteca Unified,Sequoia Elementary,Elementary Schools (Public),Traditional,0,69.29510155
6012926,2023,Duarte Unified,Beardslee Dual Language Immersion Academy (PK-8),Elementary Schools (Public),Traditional,0,69.29460581
6054589,2023,Visalia Unified,Riverway Elementary,Elementary Schools (Public),Traditional,0,69.29411765
6067086,2022,San Bernardino City Unified,North Park Elementary,Elementary Schools (Public),Traditional,0,69.29133858
6037634,2021,Cajon Valley Union,Flying Hills School of Arts,Elementary Schools (Public),Traditional,0,69.28783383
0135897,2023,Santa Ana Unified,Advanced Learning Academy,K-12 Schools (Public),Traditional,1,69.27710843
6010805,2022,Shaffer Union Elementary,Shaffer Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,69.27083333
6014286,2023,Hacienda la Puente Unified,Los Robles Academy,Elementary Schools (Public),Traditional,0,69.26829268
3032752,2021,Garden Grove Unified,Garden Grove High,High Schools (Public),Traditional,0,69.26351639
6048649,2021,San Jose Unified,Lowell Elementary,Elementary Schools (Public),Traditional,0,69.26070039
6040265,2023,San Diego Unified,Washington Elementary,Elementary Schools (Public),Traditional,0,69.26070039
0136077,2023,SBE - Grossmont Secondary,Grossmont Secondary,High Schools In 1 School Dist. (Public),Traditional,1,69.26070039
6109722,2021,Chico Unified,Little Chico Creek Elementary,Elementary Schools (Public),Traditional,0,69.25
6023584,2023,Westside Union Elementary,Quartz Hill Elementary,Elementary Schools (Public),Traditional,0,69.2496925
0119420,2021,Galt Joint Union Elementary,Vernon E. Greer Elementary,Elementary Schools (Public),Traditional,0,69.24686192
6115471,2022,Delano Union Elementary,Almond Tree Middle,Intermediate/Middle Schools (Public),Traditional,0,69.24686192
6012611,2023,Covina-Valley Unified,Traweek Middle,Intermediate/Middle Schools (Public),Traditional,0,69.24290221
6118368,2021,Contra Costa County Office of Education,Manzanita Middle,Intermediate/Middle Schools (Public),Traditional,0,69.23076923
6111934,2021,Lemoore Union Elementary,Liberty Middle,Intermediate/Middle Schools (Public),Traditional,0,69.23076923
0108340,2021,Middletown Unified,Lake County International Charter,Elementary Schools (Public),Traditional,0,69.23076923
0118810,2021,Riverbank Unified,Mesa Verde Elementary,Elementary Schools (Public),Traditional,0,69.23076923
0113662,2022,Franklin-McKinley Elementary,Voices College-Bound Language Academy,Elementary Schools (Public),Traditional,0,69.23076923
6119606,2022,Tehama County Department of Education,Lincoln Street,Elementary Schools (Public),Traditional,0,69.23076923
4731253,2023,Butte Valley Unified,Butte Valley High,High Schools (Public),Traditional,0,69.23076923
6101570,2023,Paso Robles Joint Unified,George H. Flamson Middle,Intermediate/Middle Schools (Public),Traditional,0,69.21898928
6025373,2021,Atwater Elementary,Thomas Olaeta Elementary,Elementary Schools (Public),Traditional,0,69.21641791
6033765,2021,Sacramento City Unified,A. M. Winn Waldorf-Inspired,Elementary Schools (Public),Traditional,0,69.21052632
0134262,2023,Vallejo City Unified,Caliber: ChangeMakers Academy,Elementary Schools (Public),Traditional,1,69.20565832
0132100,2023,West Contra Costa Unified,Aspire Richmond Ca. College Preparatory Academy,K-12 Schools (Public),Traditional,1,69.20473773
0101683,2021,Los Angeles Unified,Renaissance Arts Academy,K-12 Schools (Public),Traditional,0,69.20152091
6001606,2019,New Haven Unified,Hillview Crest Elementary,Elementary Schools (Public),Traditional,0,69.2
433953,2019,Gridley Unified,Gridley High,High Schools (Public),Traditional,0,69.2
100461,2019,Antioch Unified,Lone Tree Elementary,Elementary Schools (Public),Traditional,0,69.2
6004659,2019,West Contra Costa Unified,Collins Elementary,Elementary Schools (Public),Traditional,0,69.2
6009252,2019,Blake Elementary,Blake Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,69.2
112201,2019,Los Angeles Unified,PUC Excel Charter Academy,Intermediate/Middle Schools (Public),Traditional,1,69.2
6097083,2019,Sacramento City Unified,Golden Empire Elementary,Elementary Schools (Public),Traditional,0,69.2
6111173,2019,Fontana Unified,Hemlock Elementary,Elementary Schools (Public),Traditional,0,69.2
100107,2019,Ontario-Montclair,Vista Grande Elementary,Elementary Schools (Public),Traditional,0,69.2
121483,2019,Franklin-McKinley Elementary,Alpha: Cornerstone Academy Preparatory,Elementary Schools (Public),Traditional,1,69.2
6051296,2019,Vacaville Unified,Edwin Markham Elementary,Elementary Schools (Public),Traditional,0,69.2
6055073,2019,Hueneme Elementary,Hueneme Elementary,Elementary Schools (Public),Traditional,0,69.2
6055503,2019,Rio Elementary,Rio Lindo Elementary,Elementary Schools (Public),Traditional,0,69.2
6042188,2021,Lodi Unified,Lockeford Elementary,Elementary Schools (Public),Traditional,0,69.19917864
6020911,2022,Norwalk-La Mirada Unified,Loretta Lampton Elementary,Elementary Schools (Public),Traditional,0,69.19831224
6056477,2021,Woodland Joint Unified,Freeman Elementary,Elementary Schools (Public),Traditional,0,69.19739696
6111207,2023,La Mesa-Spring Valley,Sweetwater Springs Elementary,Elementary Schools (Public),Traditional,0,69.1954023
0830059,2021,Del Norte County Office of Education,Castle Rock,K-12 Schools (Public),Traditional,0,69.19191919
6029615,2022,Ocean View,Lake View Elementary,Elementary Schools (Public),Traditional,0,69.19060052
0113191,2021,Perris Union High,Heritage High,High Schools (Public),Traditional,0,69.18584679
6071583,2022,Sylvan Union Elementary,Coleman F. Brown Elementary,Elementary Schools (Public),Traditional,0,69.17293233
6015416,2022,Long Beach Unified,King Elementary,Elementary Schools (Public),Traditional,0,69.17057903
6113377,2022,Santa Ana Unified,Martin Luther King Jr. Elementary,Elementary Schools (Public),Traditional,0,69.16996047
1939941,2021,Los Angeles Unified,John F. Kennedy High,High Schools (Public),Traditional,0,69.16560779
6029789,2022,Orange Unified,Fairhaven Elementary,Elementary Schools (Public),Traditional,0,69.16299559
6110480,2023,San Bernardino City Unified,North Verdemont Elementary,Elementary Schools (Public),Traditional,0,69.15520629
0139923,2022,Stockton Unified,Aspire Stockton TK-5 Elementary Academy,Elementary Schools (Public),Traditional,0,69.14893617
3730975,2023,Warner Unified,Warner Junior/Senior High,High Schools (Public),Traditional,0,69.14893617
6047252,2022,Franklin-McKinley Elementary,Santee Elementary,Elementary Schools (Public),Traditional,0,69.14600551
6028930,2021,La Habra City Elementary,Arbolita Elementary,Elementary Schools (Public),Traditional,0,69.14153132
0110080,2022,Patterson Joint Unified,Apricot Valley Elementary,Elementary Schools (Public),Traditional,0,69.13730255
0106583,2021,Antioch Unified,Carmen Dragon Elementary,Elementary Schools (Public),Traditional,0,69.13580247
6010953,2022,ABC Unified,Burbank (Luther) Elementary,Elementary Schools (Public),Traditional,0,69.13580247
6037626,2022,Cajon Valley Union,Emerald Middle,Intermediate/Middle Schools (Public),Traditional,0,69.13043478
6052484,2021,Chatom Union,Chatom Elementary,Elementary Schools (Public),Traditional,0,69.1292876
6017503,2022,Los Angeles Unified,Haskell Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet,Elementary Schools (Public),Traditional,0,69.12621359
6006837,2021,Kings Canyon Joint Unified,Riverview Elementary,Elementary Schools (Public),Traditional,0,69.12442396
5430046,2021,Visalia Unified,Golden West High,High Schools (Public),Traditional,0,69.12442396
6054654,2023,Visalia Unified,Mountain View Elementary,Elementary Schools (Public),Traditional,0,69.12280702
6013601,2021,Garvey Elementary,Garvey (Richard) Intermediate,Intermediate/Middle Schools (Public),Traditional,0,69.11764706
6104590,2023,Willits Unified,Sherwood,Elementary Schools (Public),Traditional,0,69.11764706
6101497,2023,Garvey Elementary,Temple (Roger W.) Intermediate,Intermediate/Middle Schools (Public),Traditional,0,69.11314985
6055495,2022,Rio Elementary,Rio del Valle Middle,Intermediate/Middle Schools (Public),Traditional,0,69.11142454
6020499,2021,Monrovia Unified,Wild Rose School of Creative,Elementary Schools (Public),Traditional,0,69.10994764
6103477,2022,Mariposa County Unified,Lake Don Pedro Elementary,Elementary Schools (Public),Traditional,0,69.10994764
6015325,2023,Long Beach Unified,Garfield Elementary,Elementary Schools (Public),Traditional,0,69.10994764
0137588,2022,San Leandro Unified,San Leandro High,High Schools (Public),Traditional,0,69.1089838
6020663,2023,Montebello Unified,Washington Elementary,Elementary Schools (Public),Traditional,0,69.10688141
6035752,2022,Cucamonga Elementary,Cucamonga Elementary,Elementary Schools (Public),Traditional,0,69.10377358
6111751,2021,Hesperia Unified,Topaz Preparatory Academy,Elementary Schools (Public),Traditional,0,69.1011236
137364,2019,Humboldt County Office of Education,Northern United - Humboldt Charter,K-12 Schools (Public),Traditional,1,69.1
6009906,2019,Muroc Joint Unified,West Boron Elementary,Elementary Schools (Public),Traditional,0,69.1
6111280,2019,Jurupa Unified,Stone Avenue Elementary,Elementary Schools (Public),Traditional,0,69.1
3630746,2019,Hesperia Unified,Sultana High,High Schools (Public),Traditional,0,69.1
111310,2019,Stockton Unified,John Marshall Elementary,Elementary Schools (Public),Traditional,0,69.1
6047922,2019,Morgan Hill Unified,P. A. Walsh STEAM Academy,Elementary Schools (Public),Traditional,0,69.1
6056477,2019,Woodland Joint Unified,Freeman Elementary,Elementary Schools (Public),Traditional,0,69.1
6037899,2022,Chula Vista Elementary,Hilltop Drive Elementary,Elementary Schools (Public),Traditional,0,69.09448819
6054704,2023,Visalia Unified,Annie R. Mitchell,Elementary Schools (Public),Traditional,0,69.09323116
6012041,2022,Charter Oak Unified,Badillo Elementary,Elementary Schools (Public),Traditional,0,69.08665105
6028765,2022,Garden Grove Unified,Stanford Elementary,Elementary Schools (Public),Traditional,0,69.08023483
6104673,2021,San Francisco Unified,Drew (Charles) College Preparatory Academy,Elementary Schools (Public),Traditional,0,69.07894737
6027320,2023,Anaheim Elementary,Guinn (James M.) Elementary,Elementary Schools (Public),Traditional,0,69.07894737
6120844,2022,Salida Union Elementary,Salida Middle School - Vella Campus,Intermediate/Middle Schools (Public),Traditional,0,69.0747782
6050785,2021,Happy Camp Union Elementary,Happy Camp Union Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,0,69.07216495
6001176,2023,Hayward Unified,Southgate Elementary,Elementary Schools (Public),Traditional,0,69.06710311
6048540,2023,San Jose Unified,Grant Elementary,Elementary Schools (Public),Traditional,0,69.06666667
6120885,2023,West Contra Costa Unified,Lovonya DeJean Middle,Intermediate/Middle Schools (Public),Traditional,0,69.05940594
6020796,2021,Newhall,Newhall Elementary,Elementary Schools (Public),Traditional,0,69.05537459
0129684,2022,Contra Costa County Office of Education,Summit Public School K2,High Schools (Public),Traditional,0,69.05222437
6045819,2023,Santa Barbara Unified,Adams Elementary,Elementary Schools (Public),Traditional,0,69.05222437
6077291,2023,Elk Grove Unified,Herman Leimbach Elementary,Elementary Schools (Public),Traditional,0,69.04761905
6036743,2022,Rim of the World Unified,Valley of Enchantment Elementary,Elementary Schools (Public),Traditional,0,69.03846154
6115042,2021,Lakeside Union,Donald E. Suburu,Elementary Schools (Public),Traditional,0,69.03614458
6011340,2021,Azusa Unified,Victor F. Hodge Elementary,Elementary Schools (Public),Traditional,0,69.03225806
6027411,2023,Anaheim Elementary,Roosevelt (Theodore) Elementary,Elementary Schools (Public),Traditional,0,69.02834008
3336237,2023,Riverside Unified,Polytechnic High,High Schools (Public),Traditional,0,69.02255639
6011340,2022,Azusa Unified,Victor F. Hodge Elementary,Elementary Schools (Public),Traditional,0,69.01893287
6097018,2021,Placentia-Yorba Linda Unified,John O. Tynes Elementary,Elementary Schools (Public),Traditional,0,69.01595745
6023592,2023,Westside Union Elementary,Valley View Elementary,Elementary Schools (Public),Traditional,0,69.01004304
111328,2019,Stockton Unified,Maxine Hong Kingston Elementary,Elementary Schools (Public),Traditional,0,69
6042667,2019,Stockton Unified,Kennedy Elementary,Elementary Schools (Public),Traditional,0,69
113662,2019,Franklin-McKinley Elementary,Voices College-Bound Language Academy,Elementary Schools (Public),Traditional,1,69
6119077,2019,Pajaro Valley Unified,Watsonville Charter School of the Arts,Elementary Schools (Public),Traditional,1,69
6050348,2019,Happy Valley Union Elementary,Happy Valley Elementary,Intermediate/Middle Schools (Public),Traditional,0,69
